Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Davide Astori,Fiorentina,30,Defender,68,56,68,66,86,29,46,85,4,4,3,0,11,10,0,0,0,0,48,0,33,2.6969696969999997,0,0,12,6,0,0,0,0,35,0,33,2.8484848485
Davide Calabria,Milan,20,Defender,72,71,68,71,70,42,40,70,14,7,0,1,4,3,0,2,0,0,16,0,12,2.5833333333,0,0,1,4,0,1,0,0,8,0,6,1.1666666667
Davide Santon,Inter,26,Defender,73,74,69,74,73,63,64,74,10,8,0,1,2,1,0,3,0,0,14,0,14,2.5,0,1,5,2,0,3,0,0,11,0,11,3.4545454545
Dejan Lovren,Liverpool,27,Defender,68,63,66,67,82,21,56,78,14,7,2,1,11,6,0,2,0,0,31,0,29,3.3103448276,0,0,8,2,0,3,0,0,31,0,24,2.5416666667
Dennis Aogo,VfB Stuttgart,30,Defender,75,74,73,74,74,67,70,75,10,6,0,1,0,1,0,2,0,0,6,0,7,2.1428571429,0,1,4,4,0,0,0,0,36,0,23,1.7826086957
Dennis Diekmeier,Hamburger SV,27,Defender,69,66,64,68,64,65,61,70,14,7,0,1,6,6,0,7,0,0,36,0,24,2.0833333333,0,0,6,1,0,0,0,0,30,0,22,2.1363636364
Diego Contento,Girondins de Bordeaux,27,Defender,70,70,66,70,70,55,55,71,13,11,0,1,6,2,0,2,0,0,29,2,25,2.36,2,0,6,3,0,1,0,0,35,0,25,2.56
Diego Godin,Atletico Madrid,31,Defender,79,53,70,76,88,48,52,87,8,15,3,1,16,11,0,0,0,0,22,0,31,4.064516128999999,1,1,20,7,0,2,0,0,11,0,31,4.6774193548000005
Diego Gonzalez,Malaga CF,22,Defender,65,48,67,57,67,41,39,74,7,12,0,0,0,0,0,0,0,0,9,0,3,-1.0,1,0,0,0,0,0,0,0,7,0,2,1.5
Diego Llorente,Real Sociedad,23,Defender,78,51,69,76,82,43,51,79,12,7,2,0,6,2,1,2,0,0,31,0,25,2.64,2,0,6,10,1,2,0,0,55,1,33,1.6969696969999999
Dimitri Foulquier,RC Strasbourg,24,Defender,67,76,59,69,70,65,55,63,7,14,0,2,2,4,0,1,0,0,45,0,22,1.2727272726999999,1,1,0,4,0,2,0,0,43,0,21,0.9523809524
Djibril Sidibe,AS Monaco,24,Defender,76,76,70,77,76,76,69,75,16,7,2,5,12,7,0,3,0,0,26,0,29,3.8965517241,4,3,18,3,0,0,0,0,26,0,37,4.4324324324
Dodo,Sampdoria,25,Defender,75,76,66,76,59,70,65,66,8,9,0,0,0,0,0,6,0,0,18,0,7,0.0,0,1,4,4,0,5,0,0,29,0,17,1.8823529412
Dominic Maroh,1. FC Koln,30,Defender,52,38,48,60,71,32,53,76,9,11,0,0,2,3,0,4,0,0,18,1,12,1.3333333333,2,1,4,7,0,0,0,0,29,0,25,2.56
Dominique Heintz,1. FC Koln,23,Defender,75,46,70,59,76,26,65,78,15,15,0,0,8,7,0,2,0,0,40,0,32,2.25,2,0,8,4,0,2,0,0,41,0,33,2.6363636364
Donald Love,Sunderland,22,Defender,55,56,53,53,62,49,40,55,13,9,0,1,0,1,0,1,0,0,20,0,12,1.1666666667,0,0,0,0,0,0,0,0,2,0,1,0.0
Dorian Leveque,PAOK Thessaloniki,27,Defender,70,57,59,70,72,42,53,72,6,9,0,0,0,1,0,1,0,0,5,0,2,0.0,1,0,5,1,0,1,0,0,16,0,14,3.1428571429
Dusan Basta,Lazio,32,Defender,76,76,74,78,82,66,56,78,6,14,1,2,3,2,0,7,0,0,36,0,27,2.3333333333,0,0,5,1,0,3,0,0,32,1,23,2.1304347826
Edoardo Goldaniga,Sassuolo,23,Defender,55,48,56,59,70,13,19,74,12,15,2,1,2,11,1,4,0,0,59,1,28,0.9285714286,2,0,1,5,0,2,0,0,31,0,17,1.5882352941
Eliaquim Mangala,Manchester City,26,Defender,60,46,58,50,73,39,47,78,13,14,2,0,6,11,1,1,0,0,50,0,30,1.8,0,0,9,8,0,2,0,0,23,1,23,2.6956521738999997
Emanuele Terranova,Frosinone,30,Defender,54,43,53,48,67,22,30,71,10,12,0,0,0,0,0,1,0,0,9,0,3,-0.3333333333,0,0,0,1,0,1,0,0,6,0,6,1.5
Emerson,Roma,22,Defender,74,76,66,79,75,75,41,67,15,14,0,1,7,1,0,4,0,0,23,0,25,3.04,1,0,0,1,0,1,0,0,10,0,8,1.625
Emil Krafth,Bologna,22,Defender,68,68,62,68,70,52,60,72,13,7,0,0,2,1,2,4,0,0,35,0,26,1.4615384615,0,0,1,0,0,1,0,0,2,0,4,3.0
Emiliano Moretti,Torino,36,Defender,59,49,56,64,84,31,31,78,10,15,1,3,2,5,0,1,0,0,44,0,23,1.7826086957,1,1,6,4,0,0,0,0,50,0,35,2.2
