Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Anthony Lopes,Olympique Lyonnais,26,Goalkeeper,32,15,31,21,25,9,45,13,79,85,0,1,13,0,0,0,1,0,46,0,37,3.027027027,0,0,13,2,0,0,0,0,43,0,37,2.8378378377999995
Antonio Adan,Real Betis Balompie,30,Goalkeeper,34,12,43,15,20,11,35,11,83,82,0,0,10,5,0,0,1,0,62,0,37,2.1351351351,0,0,12,6,0,1,0,0,50,0,36,2.4444444444
Antonio Mirante,Bologna,33,Goalkeeper,35,15,35,21,17,10,43,18,80,82,0,0,8,0,0,1,1,0,33,0,21,2.8095238095,0,0,12,2,0,0,1,0,41,0,33,2.9393939394
Artur Boruc,Bournemouth,37,Goalkeeper,25,14,34,18,25,17,40,13,73,82,0,0,9,2,0,0,2,0,63,0,35,2.2,0,0,7,1,0,0,2,0,51,0,32,2.34375
Asmir Begovic,Bournemouth,30,Goalkeeper,26,16,32,24,21,11,31,13,81,82,0,0,0,0,0,0,0,0,5,0,2,0.5,0,0,4,0,0,0,0,0,27,0,17,2.0
Ben Foster,West Bromwich Albion,34,Goalkeeper,36,14,32,25,23,14,42,15,79,84,0,0,6,2,0,0,0,0,51,0,38,2.0789473684,0,0,4,1,0,0,0,0,17,0,15,2.6
Benjamin Lecomte,Montpellier Herault SC,26,Goalkeeper,17,11,21,23,24,10,41,11,74,80,0,0,4,0,0,0,1,0,50,0,30,1.9,0,0,8,0,1,0,0,0,54,0,37,2.1081081081
Benoit Costil,Girondins de Bordeaux,29,Goalkeeper,35,13,33,12,22,12,44,16,80,84,0,1,12,1,0,0,1,0,42,0,38,3.0263157895,0,0,5,0,0,0,0,0,45,0,31,2.0322580644999997
Bernd Leno,Bayer 04 Leverkusen,25,Goalkeeper,37,16,33,22,22,7,53,8,84,83,0,0,6,0,0,0,0,0,55,0,34,1.9117647059,0,0,13,0,0,0,1,0,38,1,33,3.0909090909
Brad Guzan,Atlanta United FC,32,Goalkeeper,26,14,34,28,19,12,51,15,69,76,0,0,3,0,0,0,0,0,17,0,10,2.2,0,0,2,2,0,0,0,0,58,0,28,1.0714285714
Carlos Kameni,Fenerbahce SK,33,Goalkeeper,27,15,29,14,24,14,40,13,82,80,0,0,8,1,0,0,1,0,49,0,36,2.4166666667,0,1,9,1,0,1,1,0,28,1,28,3.1071428571
Cedric Carrasso,Galatasaray SK,35,Goalkeeper,24,14,22,22,23,13,53,13,79,81,0,0,9,0,0,0,0,0,22,0,24,3.2083333332999997,0,0,6,0,0,2,1,0,29,1,20,2.55
Christian Mathenia,Hamburger SV,25,Goalkeeper,31,15,25,23,19,15,35,13,69,79,0,0,3,1,0,0,0,0,19,0,14,2.2142857143,0,0,8,3,0,0,1,0,51,0,33,2.2424242424000003
Ciprian Tatarusanu,FC Nantes,31,Goalkeeper,37,16,37,19,26,13,35,16,75,79,0,0,11,0,0,1,0,0,51,0,35,2.5142857143,0,0,14,2,0,1,0,0,40,0,37,3.0
Claudio Bravo,Manchester City,34,Goalkeeper,56,22,54,41,23,15,69,11,80,81,0,0,5,0,0,1,1,0,28,0,23,1.8863636363999998,0,0,15,0,0,1,0,0,23,0,33,3.6969696969999997
Costel Pantilimon,RC Deportivo de La Coruna,30,Goalkeeper,38,15,36,22,27,12,38,14,76,77,0,0,0,0,0,0,0,0,6,0,2,-0.5,0,0,3,3,0,0,0,0,33,0,17,1.4117647059
Dani Gimenez,Real Betis Balompie,33,Goalkeeper,27,14,35,12,17,11,32,10,65,76,0,0,0,1,0,0,0,0,2,0,1,0.0,0,0,0,0,0,0,0,0,3,0,3,1.6666666666999999
Daniele Padelli,Inter,31,Goalkeeper,26,10,29,21,13,10,30,19,74,74,0,0,0,0,0,0,0,0,4,0,2,1.0,0,0,6,3,0,0,0,0,50,1,35,1.9142857143
Danijel Subasic,AS Monaco,32,Goalkeeper,24,11,26,19,20,15,52,15,79,87,0,0,17,1,0,0,2,0,28,0,36,3.8888888889,0,0,12,3,0,0,2,0,50,0,36,2.8055555556
Darren Randolph,Middlesbrough,30,Goalkeeper,33,14,34,33,18,11,38,13,69,77,0,0,4,1,0,0,1,0,39,0,22,1.9545454544999998,0,0,2,0,0,0,0,0,12,0,6,2.0
David De Gea,Manchester United,26,Goalkeeper,50,18,51,42,30,12,68,13,85,90,0,0,14,2,0,0,0,0,29,0,35,3.3142857143,0,0,15,0,0,0,0,0,33,1,34,3.2647058824
