Players,club,league,Position,short_passing,dribbling,long_passing,sprint_speed,interceptions,gk_diving,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16
Cheikh N'Doye,Birmingham City,English Championship,Midfielder,70,66,76,60,75,8,6,4,0,5,1,0,0,0,0,0,33,3.0,9,3,0,5,2,0,0,0,0,0,32
Cheikhou Kouyate,West Ham United,English Premier League,Midfielder,68,68,64,77,81,15,1,0,0,3,0,6,0,0,0,0,31,2.0645161290000003,5,2,0,5,1,3,0,0,0,0,34
Chris Brunt,West Bromwich Albion,English Premier League,Midfielder,78,77,79,56,67,11,3,4,0,5,0,4,0,0,0,0,31,2.5806451613,0,3,0,7,0,4,0,0,0,0,22
Christian Clemens,1. FC Koln,German Bundesliga,Midfielder,75,73,67,79,39,16,1,1,0,2,0,8,0,0,0,0,15,2.2,5,3,0,1,0,12,0,0,0,0,28
Christian Eriksen,Tottenham Hotspur,English Premier League,Midfielder,89,84,86,74,55,9,8,15,0,0,0,10,0,0,0,0,36,4.3611111111000005,6,13,0,2,0,10,0,0,0,0,35
Christian Pulisic,Borussia Dortmund,German Bundesliga,Midfielder,76,86,59,90,30,8,3,6,0,1,0,5,0,0,0,0,29,2.6206896552,2,0,0,1,0,3,0,0,0,0,9
Christian Trasch,FC Ingolstadt 04,German 2. Bundesliga,Midfielder,75,69,74,75,76,14,0,1,0,0,0,1,0,0,0,0,11,1.9090909091,0,1,0,2,0,8,0,0,0,0,29
Christophe Jallet,OGC Nice,French Ligue 1,Midfielder,79,70,75,72,75,8,1,2,0,0,0,0,0,0,0,0,13,2.7692307692,1,5,0,3,0,4,0,0,0,0,23
Christophe Kerbrat,En Avant de Guingamp,French Ligue 1,Midfielder,68,60,62,66,77,7,0,1,0,3,0,1,0,0,0,0,35,2.0,0,0,0,7,0,1,0,0,0,1,29
Christopher Nkunku,Paris Saint-Germain,French Ligue 1,Midfielder,74,74,69,75,64,5,1,0,0,2,0,3,0,0,0,0,8,2.0,0,0,0,0,0,2,0,0,0,0,5
Claudio Beauvue,CD Leganes,Spanish Primera Division,Midfielder,71,72,61,69,43,16,1,2,0,1,0,2,0,0,0,0,13,2.1538461538,6,3,0,1,0,10,0,0,0,0,29
Claudio Marchisio,Juventus,Italian Serie A,Midfielder,87,84,85,78,80,4,1,2,0,2,0,9,0,0,0,0,18,2.3333333333,0,2,0,8,0,3,0,0,0,0,23
Claudio Yacob,West Bromwich Albion,English Premier League,Midfielder,83,66,74,38,82,6,0,0,0,9,0,6,0,0,0,0,33,1.5454545455000002,0,1,0,9,0,8,0,0,0,0,34
Clement Chantome,RC Lens,French Ligue 2,Midfielder,78,70,75,57,66,10,0,0,0,1,0,4,0,0,0,0,7,1.7142857143,1,0,0,9,0,3,0,0,0,0,26
Clement Grenier,Olympique Lyonnais,French Ligue 1,Midfielder,79,77,80,52,59,14,0,1,0,1,0,1,0,0,0,0,10,1.25,2,3,0,3,0,6,0,0,0,0,18
Clinton Mua Njie,Olympique de Marseille,French Ligue 1,Midfielder,72,75,64,94,32,13,4,1,0,1,0,8,0,0,0,0,22,2.5,0,1,0,0,0,0,0,0,0,0,8
Corentin Tolisso,FC Bayern Munich,German Bundesliga,Midfielder,85,77,82,69,76,7,8,5,0,1,1,5,0,0,0,0,31,3.5806451613,5,5,0,3,0,5,0,0,0,0,33
Craig Gardner,Birmingham City,English Championship,Midfielder,70,67,74,52,68,12,0,1,0,1,0,2,0,0,0,0,9,1.4444444444,3,3,0,5,0,11,0,1,0,0,34
Dan Gosling,Bournemouth,English Premier League,Midfielder,73,66,71,60,71,6,2,0,0,6,0,4,0,0,0,0,27,1.6666666666999999,3,1,0,6,0,7,0,0,0,0,34
Dani Castellano,UD Las Palmas,Spanish Primera Division,Midfielder,74,75,62,76,68,6,0,1,0,3,0,5,0,0,0,0,27,1.9259259259000001,0,0,0,5,0,3,0,0,0,0,27
Dani Ceballos,Real Madrid CF,Spanish Primera Division,Midfielder,79,82,78,65,76,12,2,2,0,8,0,2,0,0,0,0,30,2.0666666666999998,0,2,0,10,0,12,0,0,0,0,34
Dani Garcia,SD Eibar,Spanish Primera Division,Midfielder,86,66,81,40,82,6,1,1,0,9,1,2,0,0,0,0,36,1.8888888889,0,0,0,16,0,5,0,1,0,0,35
Daniel Amartey,Leicester City,English Premier League,Midfielder,76,69,71,76,72,13,1,1,0,3,0,0,0,0,0,0,24,1.9166666666999999,0,0,0,0,0,1,0,0,0,0,5
Daniel Baier,FC Augsburg,German Bundesliga,Midfielder,85,75,82,51,84,7,1,3,0,5,0,6,0,0,0,0,27,2.3333333333,1,2,0,7,0,9,0,0,0,0,28
Daniel Brosinski,1. FSV Mainz 05,German Bundesliga,Midfielder,71,74,73,85,68,9,1,2,0,6,0,1,0,0,0,0,29,2.1034482759,0,3,0,3,0,1,0,0,0,0,30
Daniel Caligiuri,FC Schalke 04,German Bundesliga,Midfielder,77,81,63,78,60,12,4,3,0,2,0,16,0,0,0,0,32,2.6875,2,5,0,4,0,7,0,0,0,0,29
Daniel Didavi,VfL Wolfsburg,German Bundesliga,Midfielder,80,81,75,78,51,12,4,2,0,0,0,11,0,0,0,0,18,3.0555555556,13,3,0,9,0,15,0,0,0,0,31
Daniele Baselli,Torino,Italian Serie A,Midfielder,82,80,78,70,68,11,6,5,0,6,0,21,0,0,0,0,37,2.8108108107999996,4,3,0,6,0,15,0,0,0,0,35
Daniele Croce,Cremonese,Italian Serie B,Midfielder,76,75,72,75,72,12,1,1,0,5,0,3,0,0,0,0,35,2.0,0,1,0,3,0,7,0,0,0,0,28
Daniele De Rossi,Roma,Italian Serie A,Midfielder,82,64,82,68,87,10,4,4,0,9,0,9,0,0,0,0,31,2.6129032258000002,1,2,0,9,0,6,0,0,0,0,24
Danilo Avelar,Amiens SC Football,French Ligue 1,Midfielder,70,75,60,73,72,4,0,0,0,1,0,1,0,0,0,0,3,1.6666666666999999,0,2,0,1,0,1,0,0,0,1,6
Danilo Cataldi,Benevento Calcio,Italian Serie A,Midfielder,78,72,75,70,71,7,1,1,0,8,1,4,0,0,0,0,24,1.5,1,2,0,9,0,7,0,0,0,0,20
Danny Latza,1. FSV Mainz 05,German Bundesliga,Midfielder,80,71,77,67,72,7,5,0,0,6,0,6,0,0,0,0,21,2.7619047619,0,2,0,8,0,9,0,0,0,0,27
Darko Lazovic,Genoa,Italian Serie A,Midfielder,74,78,67,90,24,14,2,4,0,4,0,15,0,0,0,0,33,2.4545454545,0,2,0,0,0,5,0,0,0,0,15
Darren Fletcher,Stoke City,English Premier League,Midfielder,82,65,79,46,84,10,2,3,0,0,0,5,0,0,0,0,38,2.4736842105,1,3,0,3,0,2,0,0,0,0,38
Darron Gibson,Sunderland,English Championship,Midfielder,78,64,81,52,69,15,0,0,0,4,0,6,0,0,0,0,12,1.25,0,0,0,3,0,1,0,0,0,0,7
David Lopez,RCD Espanyol,Spanish Primera Division,Midfielder,79,64,64,62,79,9,3,2,0,2,0,0,0,0,0,0,36,2.5277777778,1,1,0,2,0,3,0,0,0,0,25
David Silva,Manchester City,English Premier League,Midfielder,91,84,79,65,43,1,4,8,0,6,0,11,0,0,0,0,34,3.0294117647000003,2,15,0,1,0,12,0,0,0,0,24
David Zurutuza,Real Sociedad,Spanish Primera Division,Midfielder,83,80,73,68,78,10,3,1,0,8,0,9,0,0,0,0,31,2.2580645161,1,3,0,1,0,9,0,0,0,0,16
Davide Biondini,Sassuolo,Italian Serie A,Midfielder,72,64,70,68,72,15,0,0,0,5,0,3,0,0,0,0,14,1.2857142857,0,0,0,3,0,10,0,0,0,0,22
Davide Zappacosta,Chelsea,English Premier League,Midfielder,72,76,66,85,75,11,1,5,0,1,0,1,0,0,0,0,29,2.5172413793,1,1,0,3,0,8,0,0,0,0,24
Dele Alli,Tottenham Hotspur,English Premier League,Midfielder,83,83,76,76,67,7,18,7,0,4,0,13,0,0,0,0,37,4.8378378377999995,10,9,0,7,0,17,0,0,0,0,33
Demarai Gray,Leicester City,English Premier League,Midfielder,66,82,59,90,23,6,1,3,0,2,0,7,0,0,0,0,30,1.7,0,1,0,0,0,1,0,0,0,0,12
Denis Suarez,FC Barcelona,Spanish Primera Division,Midfielder,84,84,79,79,62,10,1,3,0,1,0,10,0,0,0,0,25,2.0,4,4,0,3,0,6,0,0,0,0,33
Diego Laxalt,Genoa,Italian Serie A,Midfielder,78,77,74,90,42,10,1,4,0,5,0,6,0,0,0,0,36,2.3333333333,3,3,0,3,0,2,0,0,0,0,35
Diego Reyes,FC Porto,Portuguese Primeira Liga,Midfielder,79,67,68,66,79,8,2,2,0,2,0,1,0,0,0,1,38,2.1315789474,2,0,0,4,0,3,0,0,0,1,27
Dimitri Payet,Olympique de Marseille,French Ligue 1,Midfielder,85,89,82,72,37,11,6,9,0,5,0,9,0,0,0,0,33,3.5277777778,9,12,0,3,0,6,0,0,0,0,30
Djamel Mesbah,FC Lausanne-Sports,Swiss Super League,Midfielder,71,67,69,77,69,11,0,0,0,1,0,2,0,0,0,0,10,1.7,0,0,0,2,0,0,0,0,0,0,7
Dominik Kohr,Bayer 04 Leverkusen,German Bundesliga,Midfielder,73,70,69,66,80,6,2,0,0,13,0,5,0,0,0,0,26,1.6923076923,0,2,0,12,0,13,0,0,0,0,31
Douglas Costa,Juventus,Italian Serie A,Midfielder,78,85,71,88,32,13,4,3,0,1,0,7,0,0,0,0,23,2.8260869564999997,4,9,0,1,0,10,0,0,0,0,27
Dries Mertens,Napoli,Italian Serie A,Midfielder,81,89,74,87,36,7,28,9,0,6,0,13,0,1,0,0,35,6.3428571429,5,5,0,6,0,5,0,0,0,0,33
Duncan Watmore,Sunderland,English Championship,Midfielder,66,74,56,79,21,6,0,2,0,1,0,8,0,0,0,0,14,2.1428571429,3,1,0,0,0,3,0,0,0,0,23
Dusan Tadic,Southampton,English Premier League,Midfielder,81,83,77,70,31,11,3,6,0,4,0,19,0,1,0,0,33,2.7272727273000004,7,12,0,2,0,19,0,0,0,0,34
Eden Hazard,Chelsea,English Premier League,Midfielder,86,93,81,87,41,11,16,7,0,3,0,25,0,1,0,0,36,4.6666666667,4,3,0,2,0,6,0,0,0,0,31
Edgar Barreto,Sampdoria,Italian Serie A,Midfielder,75,68,75,68,75,11,2,0,0,4,1,13,0,0,0,0,33,2.0909090909,0,1,0,4,0,9,0,0,0,0,30
Ellyes Skhiri,Montpellier Herault SC,French Ligue 1,Midfielder,75,72,73,66,79,15,1,1,0,3,0,5,0,0,0,1,37,2.0540540541,2,0,0,1,0,1,0,0,0,0,12
Emre Can,Liverpool,English Premier League,Midfielder,81,76,80,73,79,14,5,2,0,6,0,3,0,0,0,0,32,2.59375,1,0,0,9,0,4,0,0,0,0,30
Enner Valencia,Tigres U.A.N.L.,Mexican Liga MX,Midfielder,68,75,63,85,42,9,3,1,0,1,0,7,0,0,0,0,24,2.0416666667,4,2,0,1,0,7,0,0,0,0,19
