Players,club,league,Position,short_passing,dribbling,long_passing,sprint_speed,interceptions,gk_diving,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16
Yannick Gerhardt,VfL Wolfsburg,German Bundesliga,Midfielder,80,74,74,69,75,13,0,2,0,5,0,2,0,0,0,0,27,1.962962963,2,4,0,3,0,9,0,0,0,0,29
Yannis Salibur,En Avant de Guingamp,French Ligue 1,Midfielder,72,78,65,84,48,12,8,4,0,2,0,19,0,0,0,0,35,3.4,7,5,0,4,0,14,0,0,0,0,30
Yaya Toure,Manchester City,English Premier League,Midfielder,84,78,81,64,60,13,5,0,0,4,0,8,0,0,0,0,25,2.72,6,5,0,3,0,12,0,0,0,0,32
Yevhen Konoplyanka,FC Schalke 04,German Bundesliga,Midfielder,75,83,74,86,37,5,1,1,0,1,0,4,0,0,0,0,17,0.8529411765,4,4,0,4,0,8,0,0,0,0,32
Yoann Gourcuff,Stade Rennais FC,French Ligue 1,Midfielder,80,82,81,66,52,11,4,3,0,3,0,8,0,0,0,0,27,2.9629629630000003,2,0,0,0,0,8,0,0,0,0,12
Yohan Cabaye,Crystal Palace,English Premier League,Midfielder,81,71,77,63,76,14,4,3,0,7,0,13,0,1,0,0,32,2.40625,5,1,0,7,0,15,0,1,0,0,33
Yoshinori Muto,1. FSV Mainz 05,German Bundesliga,Midfielder,76,81,59,77,39,7,5,0,0,3,0,6,0,0,0,0,19,2.6842105263,7,2,0,2,0,13,0,0,0,0,20
Younes Belhanda,Galatasaray SK,Turkish Super Lig,Midfielder,79,86,79,73,66,15,3,6,0,8,1,3,0,0,0,0,31,2.6129032258000002,2,1,0,2,0,4,0,0,0,0,15
Younousse Sankhare,Girondins de Bordeaux,French Ligue 1,Midfielder,78,75,74,67,77,14,6,4,0,5,0,3,0,0,0,0,37,2.8648648649,6,2,0,9,2,1,0,0,0,0,33
Zargo Toure,FC Lorient,French Ligue 2,Midfielder,54,32,58,75,66,15,1,0,0,5,1,1,0,0,0,1,23,1.6521739130000002,4,0,0,1,0,1,0,0,0,0,29
Zdravko Kuzmanovic,Malaga CF,Spanish Primera Division,Midfielder,78,68,80,44,75,7,0,0,0,1,0,3,0,0,0,0,4,1.5,0,0,0,5,0,4,0,0,0,0,16
Zinedine Machach,Toulouse FC,French Ligue 1,Midfielder,75,78,70,74,53,13,0,0,0,4,0,3,0,0,0,0,10,1.0,1,1,0,4,0,7,0,0,0,0,16
Zlatko Junuzovic,SV Werder Bremen,German Bundesliga,Midfielder,79,80,79,78,75,15,4,8,0,5,0,4,0,0,0,0,30,3.2333333332999996,4,10,0,6,0,7,0,0,0,0,30
